"id","biz_focus","internet","time.1","time.2"
"S220","traditional","medium",2.87644928808159,2.14296484574596
"S221","traditional","medium",2.55162106783373,3.7047426665825
"S222","traditional","medium",2.4107419739109,4.35283137892456
"S223","traditional","medium",2.04090905233197,3.81121882414248
"S224","traditional","medium",3.65325781006136,3.76377292927952
"S225","traditional","medium",3.22545294475338,3.29346516949283
"S226","traditional","medium",3.15596448696556,1.88094899726818
"S227","traditional","medium",2.23314506817295,0.163138450132196
"S228","traditional","medium",4.07581166702842,3.93318047975908
"S229","traditional","medium",2.02189006264489,3.13516052992036
"S230","traditional","medium",2.97743143813245,1.53544055714706
"S231","traditional","medium",3.65191234946375,4.17218164818306
"S232","traditional","medium",2.88893725787753,3.47222860530029
"S233","traditional","medium",1.98195360837207,4.16917872963527
"S234","traditional","medium",5.3333525152977,2.3009746650283
"S235","traditional","medium",4.23814916412874,4.41442721900396
"S236","traditional","medium",3.97456693071416,3.72028325320143
"S237","traditional","medium",3.35811873048462,4.39886684231091
"S238","traditional","medium",3.65735445675191,3.68627815916697
"S239","traditional","medium",2.21693256503039,2.55293327228446
"S240","traditional","medium",0.718092123639438,4.00453696461036
"S241","traditional","medium",2.26782358095627,3.00369161216148
"S242","traditional","medium",2.58573502433888,2.03265169231416
"S243","traditional","medium",3.45132552274386,2.00540370615431
"S244","traditional","medium",2.81292029488496,3.19922504096468
"S245","traditional","medium",3.78424564272117,4.63091298228113
"S246","traditional","medium",5.38942148660895,2.86443921381766
"S247","traditional","medium",2.59174875456492,2.85879517223661
"S248","traditional","medium",1.47453249503981,3.23663140244414
"S249","traditional","medium",2.92107078979369,3.40165040580426
"S250","traditional","medium",1.22508629425531,0.93582458465494
"S251","traditional","low",2.28974188176165,4.2760079437755
"S252","traditional","low",-0.308674126790704,2.29529483239886
"S253","traditional","low",2.16455080673153,1.06866627640947
"S254","traditional","low",3.93774408679007,4.41584041560037
"S255","traditional","low",1.68957793605257,1.83911659639597
"S256","traditional","low",1.01995721391721,4.06624513307756
"S257","traditional","low",2.16166217887545,3.21052884362644
"S258","traditional","low",1.83712739140446,3.78410987205034
"S259","traditional","low",1.95250422090006,2.22132522965679
"S260","traditional","low",0.982929467739303,2.87277043781162
"S261","traditional","low",3.19116099164729,4.48407180441971
"S262","traditional","low",2.36563826851947,2.56684027605361
"S263","traditional","low",1.54776360128332,2.64892763769259
"S264","traditional","low",1.76837896882579,2.28187564646681
"S265","traditional","low",2.05441880273733,2.40711869948123
"S266","traditional","low",1.65169242599132,2.85308532222485
"S267","traditional","low",2.16242275804515,2.11580847027816
"S268","traditional","low",1.2833349278387,3.65650009820828
"S269","traditional","low",2.2126507118665,3.77804359357284
"S270","traditional","low",2.370031043618,4.89042177747777
"S271","traditional","low",1.66679441529513,3.60437912638431
"S272","traditional","low",-0.680472275247324,3.21960026432146
"S273","traditional","low",2.31206493490589,3.63534699230581
"S274","traditional","low",2.85443460177426,3.73376193166432
"S275","traditional","low",1.26866375790466,2.70471044875428
"S276","traditional","low",1.70485772119727,3.03059644424898
"S277","traditional","low",3.11157449119429,3.38374613208857
"S278","traditional","low",0.339356786206704,2.8584741913014
"S279","traditional","low",1.03967377355092,3.3370592756186
"S280","traditional","low",-0.0915399866628661,3.2239817390753
"S281","traditional","low",1.72548195438368,3.51568037317951
"S282","traditional","low",1.335599824669,1.28967969488519
"S283","traditional","low",0.481749701391933,3.64868530462606
"S284","traditional","low",1.94575590282316,3.23594771859749
"S285","traditional","low",1.85752855770561,2.69487598175704
"S286","traditional","low",2.12007783024363,4.24269115397261
"S287","traditional","low",2.57760785766667,2.35329419445331
"S288","traditional","low",1.56333493613417,1.34250038899892
"S289","traditional","low",1.91446768103361,2.97472754797591
"S290","traditional","low",0.724503548778628,2.31682634634588
"S291","traditional","low",1.06645785436572,3.00517423921576
"S292","traditional","low",2.4852340289949,1.92239592556838
"S293","traditional","low",0.926140186067892,3.66560967926094
"S294","traditional","low",1.88486932750216,2.07162161604311
"S295","traditional","low",3.47731960018689,2.66959988658149
"S296","traditional","low",1.59920684326217,1.78339300047364
"S297","traditional","low",2.65419571838196,3.85365439631702
"S298","traditional","low",1.62496631843465,2.54932967885565
"S299","traditional","low",2.01232027874897,4.45122184589534
"S300","traditional","low",1.0844427638479,2.16882186786265
