"gender","temporality","expectability","relativity","positive"
"women",4.85032557275531,3,4.40325572175618,2.83630315146085
"women",4.53442109710365,3,2.62793521048039,1.92973219545921
"women",3.75117473159916,7,2.98305345568781,3.52916159489576
"women",NA,5,NA,4.25839465628341
"women",4.86673336189759,2,4.67806675908611,-0.870806051468101
"women",3.66478659676595,5,4.76953560790485,4.38826399057965
"women",4.82549513393811,6,2.83292040516062,3.35272255927625
"women",4.79645467642441,4,1.60145297731526,4.41204860527823
"women",4.45215878433293,6,3.92000483592714,0.616812134541715
"women",4.31715641868202,3,2.63616324410077,1.11941913707669
"women",3.9942350723612,4,3.61109512725905,1.66319910953616
"women",NA,2,5.46670453667219,6.84399828139423
"women",3.61119125996278,5,1.3348805344882,4.05614004710814
"women",4.56016653853911,0,4.28849518734673,0.799163123657984
"women",3.94498790808483,6,4.29131094088724,4.96168971535786
"women",NA,NA,3.37980877123652,1.70523245616524
"women",4.3690765804808,4,NA,4.43967156596859
"women",4.02036209742505,5,7.92601376702648,0.411212209834398
"women",4.34543734196844,5,7.73256242088237,2.92608279847486
"women",4.44637796978945,4,8.02288925996835,2.08815091331954
"women",4.65278434595673,9,0.912363161672244,3.29284940885722
"women",4.21910747526645,3,2.58941685282145,3.99748833189382
"women",4.26976166030626,6,5.60587265451772,1.81929311334142
"women",3.89038704723888,NA,2.98870774238757,0.834172092227094
"women",4.45065321766944,4,3.43888537387676,5.38259735843595
"women",3.93015545651474,6,4.81215412782306,3.02012708023636
"women",4.0643489632847,3,4.8534838862358,2.16468681456017
"women",4.34493030650058,6,5.43943838250244,-0.235601285631725
"women",3.85492606574305,1,4.01847703896919,2.43338431392185
"women",3.76971849124572,4,5.29428847230875,5.44601254058864
"women",3.72224023925758,6,6.14029856290152,3.96508323883515
"women",4.24179733368047,6,4.77248516126867,3.19274135165318
"women",4.32896896726292,2,3.87900724425177,4.64651304663743
"women",3.91855072421745,3,4.31493609875231,-0.848810477122149
"women",4.74335645024278,1,1.77129953681948,2.58986970886626
"women",4.07155482840367,NA,2.38139309537325,2.25663756333098
"women",4.60245332406974,6,4.55306047426741,2.94257246327669
"women",3.74707143976337,3,5.95215567092031,3.06276573932678
"women",4.45860304823526,4,6.14636237042289,2.24662124102127
"women",3.99277631358895,2,3.31861720066716,NA
"women",3.69905384140446,4,5.40362493624264,3.81848980369018
"women",NA,3,4.76834374081394,2.35780677879989
"women",4.40655210105975,8,6.9523308451544,2.43722625852212
"women",4.17969740882106,6,2.85223159056257,1.40070448571106
"women",3.99151000382559,7,7.85287608128615,4.40348409238456
"women",4.05224568665484,2,1.6682633214,2.35800915045666
"women",3.52063004801627,4,5.31793477570941,5.23808371654445
"women",4.14543332930985,7,-0.172412241260994,1.46795773658835
"women",3.80334511555873,1,1.73149404992299,2.5862681693549
"women",3.91352059335471,4,7.44040242581458,5.22267854664023
"women",3.63731117696291,1,2.63251299099351,2.02870148998031
"women",4.94045870084433,5,4.82500167637265,4.46948510141147
"women",4.18385357872421,2,7.16433129285481,2.26401867011241
"women",4.5330003542734,4,5.12229801405295,2.69431915718058
"women",3.91517888453348,6,6.20398908867962,3.14866721594415
"women",4.43780042835827,2,5.32412094859303,1.8464994002462
"women",4.2018673796109,2,3.03399187389538,3.10808769646892
"women",3.37093235120863,4,4.92569526801683,2.92160159895439
"women",4.32308899224782,8,3.9931622508526,-0.0529031691757113
"women",3.83769970442873,5,4.94352791574152,1.43899330958294
"women",4.35195290192167,2,NA,0.0392909013770991
"women",3.92734633044819,6,5.79685884545875,1.86538887526833
"women",4.50644164317756,4,-2.3009555568926,0.310799544687556
"women",4.38652157848623,2,1.41418089781513,3.49280870276391
"women",4.77975940015449,NA,5.17528605990137,3.14246992349822
"women",4.51204580051031,9,10.5079660368871,NA
"women",4.30742749800727,7,5.11389288951269,2.16160936483593
"women",4.32068453737025,4,4.71325780060964,3.69087188164625
"women",4.21008147061021,5,3.45550428664164,3.67423792604391
"women",3.83401113758219,6,-1.16123372019324,4.75886635943295
"women",4.40902305818653,3,4.28636584376532,3.95487937947324
"women",3.92712184151985,8,4.28923664914423,2.03358303378835
"women",4.23884440633677,3,2.37592371517035,2.84623834007367
"women",3.50774165445336,5,2.72659058242004,3.76111181004694
"women",3.7134868083776,3,2.45295696321986,2.20083376407402
"men",2.33672658124818,2,5.29490260016598,3.77252225523732
"men",2.7267853231834,3,3.06925125587335,4.49611468973634
"men",3.10687038536414,3,1.52051037046694,1.1804361638785
"men",2.53493146925066,3,2.85750768875502,3.84785643237269
"men",3.81508428474481,2,6.27116373830135,2.5004737232227
"men",3.70143864734526,3,NA,5.09879089441541
"men",1.9894992108351,4,4.66815204519574,2.93654776270246
"men",2.69066115902614,3,3.09346498196208,4.52962901547119
"men",2.79390638209592,6,5.17555455032174,6.30286813547247
"men",3.10041401767236,2,2.0541456658249,2.17903237786571
"men",3.29711165871186,6,2.35664330661418,8.21264288567504
"men",3.22567588642577,5,4.6752068876229,3.50538580852908
"men",3.3964403746691,4,2.3563022170441,2.76620972464446
"men",2.23707166598883,3,2.50714562151686,2.24221830268851
"men",2.18685139913701,5,2.49329091121076,-0.321295672160777
"men",2.95639845962733,4,3.38771987797891,2.71995707905117
"men",2.12809902764603,0,2.50472247396435,1.62345684625512
"men",1.79779064376224,2,-0.391193941306096,2.41545222103297
"men",3.49587346372261,2,NA,4.68429670876729
"men",2.44973026250658,4,0.755784379326038,4.20966767483497
"men",3.40956061761905,3,3.84942350156511,5.523581748075
"men",3.52194190397265,3,3.33415272041377,3.49873841820547
"men",3.59105794834717,4,4.35819094224375,2.31642855324166
"men",3.07416309485278,4,3.79427596723837,5.18845949329377
"men",2.78678853256519,3,1.48405073156647,5.6779370204275
"men",2.05225448196458,2,2.05381544678703,0.39110555058599
"men",NA,3,3.65501320812195,2.24181687519781
"men",3.06831679149379,4,5.37177599998349,3.52837610747961
"men",3.55617020478414,5,5.36125093309781,3.24989809488069
"men",2.39295162077817,2,3.69550034932232,5.09387751822925
"men",2.81604612774061,2,2.23705738355105,2.54507419993499
"men",3.16814437452207,3,3.86045332547094,5.71232183564404
"men",3.3007040735886,3,1.16817970754274,1.60746395502221
"men",2.0611239444749,6,3.1124012827444,3.96831146775918
"men",2.80226617460947,3,2.03458479061208,NA
"men",2.75510797389501,3,NA,3.80110389942883
"men",3.4443251123322,5,5.11553938318457,1.84540448629815
"men",3.05000105233578,4,4.66499881391729,3.23213074842755
"men",2.78745832940355,3,0.977434280173519,4.47424602660453
"men",3.99196012753705,3,2.51219580731249,5.23246487802111
"men",2.61240209681429,1,1.19763711787139,1.66639457314477
"men",2.99796137268355,5,5.36219663989162,NA
"men",2.65948905297763,NA,4.64766033809878,6.49965060143406
"men",2.81631627999314,2,1.73901249818113,4.21570876170497
"men",3.22144090228536,3,3.52714884012513,5.8131746487902
"men",2.23879208015845,4,5.3593687865456,3.46106311227704
"men",NA,3,1.16112721533226,4.84935464169232
"men",3.32654482768034,3,2.30795183384065,1.96903529647676
"men",2.72891851256895,2,1.06534046173929,4.76140992044058
"men",2.26112362968929,1,-0.446576916760331,4.55859041924526
"men",3.00938755056989,2,1.75437162457668,2.37298253064277
"men",1.82284314150551,3,2.43156482874708,3.10928022172319
"men",2.36525973482343,3,4.25190594634477,3.82984703998865
"men",4.0182251423887,4,3.6242221973419,4.41654576046902
"men",2.46748160713942,3,5.20227885266065,0.803062388676102
"men",2.55953066558133,2,1.32255310864976,2.39666732299401
"men",3.06982081520772,4,3.40869894693524,3.41533698334611
"men",2.9320699010952,3,2.51098550197636,2.13350133266673
"men",2.90093192948038,4,5.91919615933994,2.2267291476933
"men",2.40858799913514,3,2.70297806267681,2.99635147601913
"men",3.81770213660251,5,3.84968875720084,0.678259514288308
"men",2.59919576061236,3,1.47814434544693,1.76513868340606
"men",2.89365216477831,5,4.98268657153034,3.32759385624608
"men",2.24177881785037,2,2.65129468236701,-0.167489257891843
"men",2.60820583993907,3,2.60786666024981,NA
"men",2.82890283502511,4,3.58466551061122,3.44316002160416
"men",2.6936756551352,5,3.01924245778469,1.74653199714352
"men",2.65321503687745,3,1.61694440321007,4.09546447166979
"men",3.16154345085444,NA,3.25696731173811,3.66628683216538
"men",3.41568918209506,3,2.69359394564759,2.41969001752699
"men",3.03400409725259,3,2.94514017244297,6.91785011209493
"men",1.73700542869444,2,1.16622637740732,1.72910208633421
"men",3.33080391038159,3,4.49255184172011,5.90898234780343
"men",3.43484511913278,3,3.56412261542747,5.31347190734957
"men",2.5003524696567,3,3.36103642050046,2.95306651476052
"men",2.86136396388312,4,2.88483258977147,4.93028946166495
"men",3.47786754159553,4,5.00430370202433,2.26193831877851
"men",2.37629961579503,1,3.8972229962272,7.21761217247823
"men",2.67367354593173,2,4.47537898300929,2.85639653073471
"men",2.57905926273175,5,4.13282279116145,5.67386311293437
"men",2.9766186094965,3,3.07759225077601,4.45061994636462
"men",2.31953736994826,4,4.32096261542503,3.22156405037814
"men",2.58189007494268,3,3.09752465143465,3.9958904361506
"men",2.70807124961814,2,1.7639336539934,3.89985794007442
"men",2.77562174606647,2,3.80707075309633,5.60461591734826
"men",2.89867194677717,1,1.44366357154826,2.47040884748015
"men",2.43329849645284,1,0.865218385850263,2.7719188788935
"men",NA,3,3.09632268373126,3.63076833694505
"men",2.87065486991622,2,4.72548453920425,4.63278544128118
"men",2.42282525044387,5,3.63633253825412,3.5275213119624
"men",2.48002619066951,2,2.36266454307951,5.38455403348285
"men",2.29829901708327,3,1.58475076786502,-0.912836937566995
"men",2.49537505595346,2,NA,3.03158891793771
"men",2.62336599237032,4,3.99955736607066,2.0062550185635
"men",3.23198127343301,5,2.47736268637757,NA
"men",2.21754367502117,2,3.18246909290446,2.66056994359585
"men",3.68190380871588,4,4.34382039241015,7.98098493337069
"men",2.75529096048083,3,4.80769528153247,3.07796089252257
"men",3.53259313832058,6,3.26274697176197,3.42323363058101
"men",2.4997565139474,5,4.44805575670537,1.97244839056433
"men",3.2049587971335,4,1.55043435326643,6.25528197270495
"men",3.35699112130675,3,3.12908573659827,2.05775979913314
"men",1.79260935958171,2,2.34777961679117,0.265960917385666
"men",2.43364574649658,2,0.646117226702775,5.94058490358338
"men",2.90739501644306,4,5.57976043574906,4.05904352044706
"men",3.6272106869994,5,2.33034005895506,4.5586128142744
"men",2.88901280445386,4,2.69093059076737,4.43659452027705
"men",3.38820393974894,4,3.51155237403967,5.93627090338475
"men",2.56747514222577,4,2.65099768670199,3.07536796123747
"men",3.44967404577766,5,3.42465018760795,5.92023917630281
"men",2.75702281352233,2,2.86779025258055,1.88072045986212
"men",2.47676809854514,2,3.10830969298662,3.86134970815136
"men",2.83612999123799,4,1.53453238320042,4.29484104900956
"men",2.77117316703822,4,5.16338304058126,-0.656587891395964
"men",2.86896096378076,5,3.99275844154407,4.49489535056986
"men",3.02118699909051,3,NA,2.84163189049538
"men",2.41125962339212,3,3.46442913485578,0.897663771630015
"men",3.14322347867201,1,3.54208912071022,3.16568451280902
"men",3.08568162120659,2,4.20292088692539,5.21822205776255
"men",3.35504982799441,3,2.21899882816129,4.95498123446723
"men",2.91162688400606,2,1.4468347739438,4.03855071341614
"men",3.45006538050612,2,1.94113798184839,-0.131631704953517
"men",3.14919072501709,4,NA,3.97217913251317
"men",2.90594845971545,2,3.86887912943592,5.76078875511383
"men",2.90534981035575,2,2.16480741760664,5.8693358747601
"men",2.70380896461211,3,1.41099935676737,2.0056355368133
"men",NA,5,1.8805536888503,NA
"men",3.32505685572217,2,4.45903615925943,1.15106540402372
"men",3.47260350306639,4,3.74490180194206,4.2335587029811
"men",3.8171984336242,5,3.47510964560076,4.0350839437331
"men",2.61821891581972,0,0.738926291022841,3.51282190487154
"men",2.51929989788251,3,3.26865879614742,4.36869758836197
"men",3.4818263497092,3,2.51057326945357,3.57645088888644
"men",2.9747547369919,NA,3.68662735345985,5.07875965885383
"men",2.47890584425555,1,3.28202784736627,0.000133777225338853
"men",3.62143184123841,4,6.87833187939144,2.12834106544159
"men",2.67252996687199,3,4.85224849252236,6.19016525341155
"men",2.37519513310577,2,2.61449876128659,6.50726902346073
"men",2.88539250437755,4,2.23249114455412,5.14777521261274
"men",3.17972566542003,4,3.08576010583963,4.63907276662452
"men",3.57946479569515,5,5.22682430473022,NA
"men",2.56639429321255,5,3.59139957702125,5.53962277395932
"men",2.82944851354263,1,-0.525405320981554,1.25830983202878
"men",2.79459383218181,4,4.19081504740931,5.10786927023587
"men",2.28129222751363,2,4.19172643890939,5.10888947460449
"men",2.64813490756199,3,5.2297201202156,1.62231148996631
"men",2.45380798385482,2,0.0268431291918634,2.85077858740918
"men",2.7732992428579,4,2.15991361771289,3.69277403468966
"men",3.18605886292777,2,2.02283088586089,NA
"men",2.7748251121659,NA,0.318327334907043,4.74667605357053
